IUPAC Name,Traditional Name,colour,SMILES,InChI,Folder,Molar mass,Formula,Lipinski's rule of five,Atom count,Heavy atom count,Asymmetric atom count,Rotatable bond count,Ring count,Aromatic ring count,FSP3,Hydrogen bond donor count,Hydrogen bond acceptor count,Formal charge,Topological polar surface area,Polarizability,Molar refractivity,HLB_x,logP_x,Van der Waals Volume (A^3),Van der Waals Surface Area (A^2),Solvent Accessible Surface Area (A^2),Topological Polar Surface Area (A^2),Minimum Projection Area (A^2),Maximum Projection Area (A^2),Minimum projection radius (A),Maximum projection radius (A),LogD at pH 7.4,HLB_y,logP_y,Average Solubility (mg/ml),MATS1e,MATS1v,GATS1p,ATS6e,GATS1v,JGI4,SpMAD_B(s),SpPosA_B(p),SpMAD_B(m),J_Dz(Z),SM6_B(s),AAC,SIC0,SIC1,Mi,nDB,nCL,DLS_02,P_VSA_MR_3,P_VSA_i_4,C-026,P-117,B01[S-P],B03[C-S],BLTF96
"O,O-diethyl {[(4-oxo-3,4-dihydro-1,2,3-benzotriazin-3-yl)methyl]sulfanyl}phosphonothioate",azinphos-ethyl,black,CCOP(=S)(OCC)SCN1N=NC2=CC=CC=C2C1=O,"InChI=1S/C12H16N3O3PS2/c1-3-17-19(20,18-4-2)21-9-15-12(16)10-7-5-6-8-11(10)13-14-15/h5-8H,3-4,9H2,1-2H3",calculation-result-20240129-224806,0.8671883439720053,C12H16N3O3PS2,True,0.7028062959237098,1.141853498218402,-0.6217567608386437,0.2217954711246666,1.531070893914381,1.6643570326110249,-0.6496501424045684,-0.4120816918460671,1.564965829062402,0.0,0.8080061637678704,0.9482655672587932,1.3857244219793408,-0.1695787950882358,0.8076850666236443,0.8731615259837321,0.7053753681823028,0.781560853493158,0.8080061637678704,0.2662913430324969,1.391063501388661,0.440375272887799,1.4559275670389416,0.8080159111256114,-0.1695787950882358,0.8076850666236443,-0.3127972383645644,1.6027673766072328,0.885332810728818,-1.1735574732394052,0.490850010606658,-0.8902945293623226,0.2589244900188923,-0.172909639539431,0.3454318013874406,0.5053429341082039,-1.1180656049895457,0.3921703233573684,0.6375214773282715,0.0206704461386953,0.6844839177481584,-0.3164094329993779,0.691223419610465,-0.518495139130856,0.2797514424720937,-0.3393987086858298,1.787857561528328,0.1571268246113515,-0.7679476477883044,0.4898979485566356,0.4644203640128238,0.1648345752197383
"O,O-dimethyl {[(4-oxo-3,4-dihydro-1,2,3-benzotriazin-3-yl)methyl]sulfanyl}phosphonothioate",azinphos-methyl,black,COP(=S)(OC)SCN1N=NC2=CC=CC=C2C1=O,"InChI=1S/C10H12N3O3PS2/c1-15-17(18,16-2)19-7-13-10(14)8-5-3-4-6-9(8)11-12-13/h3-6H,7H2,1-2H3",calculation-result-20240129-223038,0.3393828116502435,C10H12N3O3PS2,True,-0.1956264947416509,0.5732196276196797,-0.6217567608386437,-0.8783100656536798,1.531070893914381,1.6643570326110249,-1.0706777608270412,-0.4120816918460671,1.564965829062402,0.0,0.8080061637678704,0.3143005017872083,0.7244549494562251,0.2221122641371001,0.3371457142888419,0.0815735834216393,-0.2027692421165119,-0.3217436026719822,0.8080061637678704,-0.7302377612359393,0.6033254138592389,-0.6323253547692158,0.7330059569118149,0.3370794638023333,0.2221122641371001,0.3371457142888419,-0.307984067486424,1.237088105675188,0.8404954818669678,-1.2724395845878451,0.0190128956605184,-1.3022262587333249,0.8569585520514065,0.1144365283662642,0.6395301066516447,0.8393249696006813,-1.116794375945561,0.3946187121890964,1.3234708754226443,0.8082386009024205,1.2360536021283786,-0.5800830274139646,0.691223419610465,-0.518495139130856,0.2797514424720937,-0.3393987086858298,1.787857561528328,0.1571268246113515,-0.7679476477883044,0.4898979485566356,0.4644203640128238,0.6209294076319672
"dimethyl (2,2,2-trichloro-1-hydroxyethyl)phosphonate",briten,black,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,"InChI=1/C4H8Cl3O4P/c1-10-12(9,11-2)3(8)4(5,6)7/h3,8H,1-2H3",calculation-result-20240129-223425,-0.7875431537953997,C4H8Cl3O4P,True,-1.8427532776281457,-1.4169989194758488,1.130466837888443,-1.428362834042853,-1.03450736075296,-0.9480514742721028,1.3853166799707166,2.4267032964268394,0.5436197090427292,0.0,0.32410713839188,-1.6603447841078902,-1.7848886804867556,-0.1378293876444199,-1.0533541670147044,-1.5558238554889072,-1.6531622779836548,-1.9315515137812287,0.32410713839188,-1.681405654499268,-1.7393985516545645,-1.765744885878514,-1.6702199362135002,-1.0534237515986578,-0.1378293876444199,-1.0533541670147044,1.4870007798023637,-1.375656848390397,-0.0312040586823573,0.8239248416277565,-1.3453298867282883,-0.7600692178873375,-0.2703700246535673,1.715796042195655,-1.2074378157767232,0.3222741888662715,1.3370091908605095,0.6399610551666985,1.0936564822455903,1.7765766128722138,0.7788389191443544,1.6024102647925444,-0.3291540093383165,2.3179782690555917,0.2797514424720937,2.7572802795484823,-0.7654288305260922,-0.7284970959253574,-0.7679476477883044,-2.0412414523193148,-2.15322168769582,1.01928619120125
"O,O-diethyl O-1,2,2,2-tetrachloroethyl phosphorothioate",chlorethoxyfos,black,CCOP(=S)(OCC)OC(Cl)C(Cl)(Cl)Cl,"InChI=1/C6H11Cl4O3PS/c1-3-11-14(15,12-4-2)13-5(7)6(8,9)10/h5H,3-4H2,1-2H3",calculation-result-20240129-223005,0.69050050267071,C6H11Cl4O3PS,True,-0.9443204869627848,-0.5640481135777651,1.130466837888443,0.2217954711246666,-1.03450736075296,-0.9480514742721028,1.3853166799707166,-0.4120816918460671,-1.4990725309966169,0.0,-1.4330785850627177,-0.141253629958766,-0.217331994042486,-1.0979038605650218,0.9159157170905552,-0.1846262000381258,-0.3589867782917667,-0.2036989958172409,-1.4330785850627177,0.8659098510062507,-0.6905989013986273,0.8249283280855956,-0.8886830604003897,0.9159828432753988,-1.0979038605650218,0.9159157170905552,-0.3141081265774787,-0.414484516691222,-0.5122306346894717,-0.4098637823867831,-0.649504505097425,-1.0312759374365563,1.2419000172677432,-0.5773312041773807,0.4939365842682224,-0.0406178126881977,1.035781294203871,-0.9873013834243732,1.475867504405593,1.3268594670098883,-0.5215914318790664,0.2048064003403427,-1.349531438287098,3.2634694051177404,0.2797514424720937,0.1627659622402537,-0.7654288305260922,-0.7284970959253574,-0.7679476477883044,0.4898979485566356,0.4644203640128238,-0.4999088775957437
"(1Z)-2-chloro-1-(2,4-dichlorophenyl)ethenyl diethyl phosphate",chlorfenvinphos,black,CCOP(=O)(OCC)O\C(=C/Cl)C1=CC=C(Cl)C=C1Cl,"InChI=1S/C12H14Cl3O4P/c1-3-17-20(16,18-4-2)19-12(8-13)10-6-5-9(14)7-11(10)15/h5-8H,3-4H2,1-2H3/b12-8-",calculation-result-20240129-223105,1.134195848558308,C12H14Cl3O4P,True,0.2535899005910295,0.857536562919041,-0.6217567608386437,0.2217954711246666,0.2482817665807105,0.358152779169461,-0.9654208562214228,-0.4120816918460671,-0.4777264109769438,0.0,-0.36449432074601,0.5602650900302824,0.5671424223086204,-1.193152082896469,1.0314057404546368,0.7109642918124619,0.4544552900768048,0.1381160866456292,-0.36449432074601,1.0629476113096827,0.345299450699312,0.9463661349901644,0.4496988394295623,1.0317371213870898,-1.193152082896469,1.0314057404546368,-0.3143726732951452,-0.0793072906017981,-0.148124679617407,0.6972841045958799,0.3772187850596564,-0.8267324373272201,0.2185972889009915,0.174038262474153,0.129990083281374,0.6969352511818508,-0.563091839398242,0.4519141961397189,-0.1010017937726705,-0.2623408425504636,0.660615273455655,-0.5712090953185499,0.691223419610465,2.3179782690555917,0.2797514424720937,0.1627659622402537,-0.7654288305260922,1.0427507451480604,1.302172098423647,-2.0412414523193148,-2.15322168769582,-2.1352437511797837
"O,O-dimethyl O-3,5,6-trichloropyridin-2-yl phosphorothioate",chlorpyrifos-oxon,black,COP(=S)(OC)OC1=NC(Cl)=C(Cl)C=C1Cl,"InChI=1S/C7H7Cl3NO3PS/c1-12-15(16,13-2)14-7-5(9)3-4(8)6(10)11-7/h3H,1-2H3",calculation-result-20240129-224909,0.4372291135423345,C7H7Cl3NO3PS,True,-1.3935368822954652,-0.2797311782784039,-0.6217567608386437,-1.428362834042853,0.2482817665807105,0.358152779169461,-1.1057633956955806,-0.4120816918460671,-0.4777264109769438,0.0,-0.6261628752184083,-0.2053429945009756,-0.2597924549097596,-0.5208928904991531,0.8822586245673083,-0.5623073677914006,-0.8899875412554764,-1.0449611686807203,-0.6261628752184083,-0.2199241374284896,-0.5312299241527908,0.1165411211422849,-0.8007601618714149,0.882127686678308,-0.5208928904991531,0.8822586245673083,-0.3143766217536178,-1.2045575747739723,-0.5391165400584207,-0.3574835014197771,-0.9988003622043988,-1.7854049717883669,2.3200925471560785,-0.2549232252124277,1.0710713891259125,0.6959373532947054,-0.3174026473923792,-0.8856452220563491,2.942584871050698,2.6547888457515607,1.6055599825982931,-1.0517677704828072,-1.349531438287098,2.3179782690555917,0.2797514424720937,-0.3393987086858298,0.4183283123214745,1.0427507451480604,-0.7679476477883044,0.4898979485566356,0.4644203640128238,-0.766772623276509
"O,O-diethyl O-6-methyl-2-(propan-2-yl)pyrimidin-4-yl phosphorothioate",diazinon,black,CCOP(=S)(OCC)OC1=CC(C)=NC(=N1)C(C)C,"InChI=1S/C12H21N2O3PS/c1-6-15-18(19,16-7-2)17-11-8-10(5)13-12(14-11)9(3)4/h8-9H,6-7H2,1-5H3",calculation-result-20240129-223218,0.0951433888503691,C12H21N2O3PS,True,1.1520226912563902,0.5732196276196797,-0.6217567608386437,0.2217954711246666,0.2482817665807105,0.358152779169461,0.2274907293089166,-0.4120816918460671,0.5436197090427292,0.0,0.1807528346259012,0.4909792905251907,0.5239858883123756,-0.9484745842261936,0.962111726436188,0.7345693647970414,0.9882332536836308,1.1982451597565025,0.1807528346259012,0.8970956835722613,0.8499678786444628,1.1082832108629213,-0.3904533020695319,0.9620469744737796,-0.9484745842261936,0.962111726436188,0.3565437338131457,0.0423824161871701,-0.4870862412128059,0.3333198379108459,0.938185302418856,0.8579852414016184,0.2225179890096778,-1.2350354064553075,-0.5254623257106065,-0.8435280555462583,-0.587056335805127,-1.3295243962669463,-0.7290217548969098,-0.9221062430445572,-0.7748654695010746,0.7700395131297153,-1.349531438287098,-0.518495139130856,0.2797514424720937,-0.3393987086858298,1.6020854551690344,-0.7284970959253574,-0.7679476477883044,0.4898979485566356,0.4644203640128238,-0.6017382078479145
"2,2-dichloroethenyl dimethyl phosphate",dichlorvos,black,COP(=O)(OC)OC=C(Cl)Cl,"InChI=1S/C4H7Cl2O4P/c1-8-11(7,9-2)10-3-4(5)6/h3H,1-2H3",calculation-result-20240129-223239,-1.4735962628311017,C4H7Cl2O4P,True,-2.142230874516599,-1.70131585477521,-0.6217567608386437,-1.428362834042853,-1.03450736075296,-0.9480514742721028,-0.3689650634562532,-0.4120816918460671,-0.4777264109769438,0.0,-0.36449432074601,-2.0327559564477555,-1.4646950411597737,-0.0953818103010578,-0.8982675642115087,-2.0587755095761895,-2.1540304139695605,-2.0903795157093925,-0.36449432074601,-1.1753446442235471,-2.0459941078798884,-0.4299290099282686,-2.060988374120056,-0.8983367769336207,-0.0953818103010578,-0.8982675642115087,-0.2629400532306201,-1.9710263522470295,-2.597148113311328,2.037098145443636,-2.275811008643905,0.229993607137879,1.7711945319401952,0.955515328344398,-1.2617087696000198,0.3853764222706303,1.1096243667111692,0.3520132022331908,1.058624575018687,2.068182888720021,1.235213485288998,1.2268946857699985,0.691223419610465,1.3724871329934425,0.2797514424720937,0.1627659622402537,-0.7654288305260922,-0.7284970959253574,1.302172098423647,-2.0412414523193148,-2.15322168769582,0.4159580470032309
"(2E)-3-[(dimethoxyphosphoryl)oxy]-N,N-dimethylbut-2-enamide",dicrotophos,black,COP(=O)(OC)O\C(C)=C\C(=O)N(C)C,"InChI=1S/C8H16NO5P/c1-7(6-8(10)9(2)3)14-15(11,12-4)13-5/h6H,1-5H3/b7-6+",calculation-result-20240129-223151,-1.168353434120812,C8H16NO5P,True,-0.1956264947416509,-0.5640481135777651,-0.6217567608386437,-0.8783100656536798,-1.03450736075296,-0.9480514742721028,0.0520625549662195,-0.4120816918460671,0.5436197090427292,0.0,0.9069143733531304,-1.2273085372010704,-1.1619032300570835,2.115688336356849,-1.9647354371049737,-0.7871398451296744,-0.6015752544679175,-1.1602549893574894,0.9069143733531304,-0.4368074275466558,-0.9827753596826616,-0.8954406030624456,-1.2989899202022728,-1.9644772346841193,2.115688336356849,-1.9647354371049737,0.3933287487951334,-0.4059728060053094,-2.892251001521129,2.8653623765395744,0.0184018579147802,2.4557076717094084,0.1833109879228235,1.273727897461848,-2.156743158949234,-1.0538024214684787,0.4699260222283456,0.9753311502884968,-0.9075582384225764,-0.5872968376794582,-0.2196641748933059,1.9710772751784773,1.7116008485592464,-0.518495139130856,0.2797514424720937,0.1627659622402537,-0.5450944718208887,-0.7284970959253574,1.302172098423647,-2.0412414523193148,-2.15322168769582,0.8649639264674467
"O,O-dimethyl {[(methylcarbamoyl)methyl]sulfanyl}phosphonothioate",dimethoate,black,CNC(=O)CSP(=S)(OC)OC,"InChI=1S/C5H12NO3PS2/c1-6-5(7)4-12-10(11,8-2)9-3/h4H2,1-3H3,(H,6,7)",calculation-result-20240129-223449,-1.3177948436644638,C5H12NO3PS2,True,-1.2437980838512384,-1.4169989194758488,-0.6217567608386437,-0.8783100656536798,-1.03450736075296,-0.9480514742721028,0.6836039825999288,2.4267032964268394,-0.4777264109769438,0.0,-0.1892139493290923,-1.154558447720725,-1.2454320055336876,2.3717542094363195,-1.578668787573614,-1.3517918880083326,-1.3289241028999037,-1.1695837424827886,-0.1892139493290923,-1.2235409309164735,-1.098128143212982,-1.138316216871581,-0.8007601618714149,-1.5788056261979595,2.3717542094363195,-1.578668787573614,-0.0632281158284269,-0.5904993188904247,0.3775013051113874,-0.9463872999388836,-1.0476983593059015,0.0213616409866328,1.2419000172677357,0.1479082595580123,0.0443046792086589,-0.4883656825130825,0.85342243149933,0.276121303575088,0.761923264784712,1.052456876546292,0.1978687350035353,0.4878057192848622,-0.3291540093383165,-0.518495139130856,0.2797514424720937,-0.3393987086858298,0.5047339431862589,-0.7284970959253574,-0.7679476477883044,0.4898979485566356,0.4644203640128238,1.9250398632648456
"O,O-diethyl {[2-(ethylsulfanyl)ethyl]sulfanyl}phosphonothioate",disulfoton,black,CCOP(=S)(OCC)SCCSCC,"InChI=1S/C8H19O2PS3/c1-4-9-11(12,10-5-2)14-8-7-13-6-3/h4-8H2,1-3H3",calculation-result-20240129-223259,-0.4684136768550409,C8H19O2PS3,True,0.1038511021468026,-0.8483650488771264,-0.6217567608386437,1.3219010079030131,-1.03450736075296,-0.9480514742721028,1.3853166799707166,-0.4120816918460671,-1.4990725309966169,0.0,-2.0108778094120563,0.1133716832224438,0.0617933306751663,-0.1243703997062807,0.1945980283080321,-0.0448654708819012,0.1500740995913304,0.9106086050597916,-2.0108778094120563,-0.5374526144642353,0.0819611882978577,-0.2680119340555134,1.328927824719312,0.1945974304824121,-0.1243703997062807,0.1945980283080321,-0.3128722590755444,-0.1607149886116485,0.9285946543481226,-1.0632673584919077,-0.0897231212607318,0.4239063759696957,-1.2987136531600596,-1.729622873414982,1.1133672633459537,-1.0442450007357005,0.8861862529503806,-2.14786333441319,-1.3409819685536728,-0.9671041168309094,-1.796958500421608,-0.4384017072636769,-1.349531438287098,-0.518495139130856,0.2797514424720937,-0.3393987086858298,-0.7654288305260922,-0.7284970959253574,-0.7679476477883044,0.4898979485566356,0.4644203640128238,-0.0244497402659511
"O,O-diethyl [({[diethoxy(sulfanylidene)-λ⁵-phosphanyl]sulfanyl}methyl)sulfanyl]phosphonothioate",ethion,black,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,"InChI=1S/C9H22O4P2S4/c1-5-10-14(16,11-6-2)18-9-19-15(17,12-7-3)13-8-4/h5-9H2,1-4H3",calculation-result-20240129-224931,1.6027291018492833,C9H22O4P2S4,True,1.301761489700617,0.5732196276196797,-0.6217567608386437,2.9720593130705324,-1.03450736075296,-0.9480514742721028,1.3853166799707166,-0.4120816918460671,-1.4990725309966169,0.0,-0.8552793607133787,1.8420523808744689,1.6718104779867096,0.5226963280888769,0.788546719894739,1.6556346383834628,1.806952003274122,2.2190260305824623,-0.8552793607133787,0.4746694060872053,1.6392237659571791,1.3106795557038666,1.944388114422136,0.788745529592764,0.5226963280888769,0.788546719894739,-0.3141278688698419,-0.7741217161925326,0.8823214269089186,-1.0010505713473048,1.1152925817846209,0.0834553326131097,-1.7221492648980228,-1.4496683090079658,1.263892637959208,-0.9145334715392944,2.4599148129807893,-1.492875536665427,-0.3895156328909784,-0.7657262920961713,-1.9836177448489063,-0.6481394254468447,-1.349531438287098,-0.518495139130856,-2.611013463072882,0.66493063316633,-0.7654288305260922,-0.7284970959253574,-0.7679476477883044,0.4898979485566356,0.4644203640128238,0.7088006581160469
ethyl bis(propylsulfanyl)phosphinate,ethoprophos,black,CCCSP(=O)(OCC)SCCC,"InChI=1S/C8H19O2PS2/c1-4-7-12-11(9,10-6-3)13-8-5-2/h4-8H2,1-3H3",calculation-result-20240129-224823,-1.0716737612128189,C8H19O2PS2,True,-0.0458876962974241,-1.1326819841764877,-0.6217567608386437,0.7718482395138399,-1.03450736075296,-0.9480514742721028,1.3853166799707166,-0.4120816918460671,-0.4777264109769438,0.0,-1.5200927694446873,-0.5829506018037225,-0.6154858238142987,-0.9515805045196104,0.3199871965318924,-0.4942967119645424,-0.1580563117623497,0.5013394615370691,-1.5200927694446873,0.8432292455036968,-0.6010487141843005,1.1082832108629213,-0.878913849452726,0.3201188882751355,-0.9515805045196104,0.3199871965318924,-0.3078024383966829,-0.3402858413831963,1.4138207411290518,-0.7510092967930959,0.1797221106675406,1.0019927423586177,-0.7240510372299583,-0.5421183953615175,0.8264607925714486,-0.6453315050227371,1.134333839773177,0.1644622351517193,-1.713341112661216,-1.1448771838472345,-1.858291172763256,0.1672573941888309,-0.3291540093383165,-0.518495139130856,0.2797514424720937,-0.8415633796119046,-0.7654288305260922,-0.7284970959253574,1.302172098423647,0.4898979485566356,0.4644203640128238,-0.2323787612944176
"O,O-dimethyl O-3-methyl-4-nitrophenyl phosphorothioate",fenitrothion,black,COP(=S)(OC)OC1=CC=C(C(C)=C1)[N+]([O-])=O,"InChI=1S/C9H12NO5PS/c1-7-6-8(4-5-9(7)10(11)12)15-16(17,13-2)14-3/h4-6H,1-3H3",calculation-result-20240129-223054,-0.4149745427447443,C9H12NO5PS,True,-0.4951040916301044,0.0045857570209573,-0.6217567608386437,-0.8783100656536798,0.2482817665807105,0.358152779169461,-0.9654208562214228,-0.4120816918460671,0.5436197090427292,0.0,1.2674911374107896,-0.4461111477811675,-0.4178010551863355,-0.5188222769702084,0.2513531255040954,-0.5078521004111324,-0.4960416300295236,-0.6419111939081975,1.2674911374107896,-0.564385833498518,-0.5023917282702112,-0.5311271823487431,-0.6737604195517846,0.2514186582213895,-0.5188222769702084,0.2513531255040954,-0.3136185177268721,1.994657583525792,-0.2266930921561293,-0.0328851366417413,-0.5318833011601161,-0.3391843689297155,0.2337199893202052,1.275325676001834,-0.2435580242545053,0.1468258813370631,-0.6394350623693273,1.0496878926530753,0.54707004816479,0.4663773046654052,0.9528245861515364,-0.0524480455189438,0.691223419610465,-0.518495139130856,0.2797514424720937,3.3422928109208416,-0.3655627721351678,1.0427507451480604,-0.7679476477883044,0.4898979485566356,0.4644203640128238,-0.1923736787763061
"O,O-dimethyl O-3-methyl-4-(methylsulfanyl)phenyl phosphorothioate",fenthion,black,COP(=S)(OC)OC1=CC=C(SC)C(C)=C1,"InChI=1S/C10H15O3PS2/c1-8-7-9(5-6-10(8)16-4)13-14(15,11-2)12-3/h5-7H,1-4H3",calculation-result-20240129-225854,-0.394464452540441,C10H15O3PS2,True,-0.1956264947416509,-0.2797311782784039,-0.6217567608386437,-0.8783100656536798,0.2482817665807105,0.358152779169461,-0.7198214121416471,-0.4120816918460671,-1.4990725309966169,0.0,-1.4330785850627177,0.0614073335936253,0.0304700398714396,-0.1399000011733645,0.7053939030726001,-0.2075301322409851,-0.2273474678080851,-0.2346752401691935,-1.4330785850627177,-0.2085838346772132,-0.6389937087666426,-0.5918460858010257,-0.5467606772321542,0.7055925133893826,-0.1399000011733645,0.7053939030726001,-0.3136777446039616,-0.4639437336356363,0.4523695507887264,-0.3755021017601576,0.1184752588909046,-0.4303534923256688,0.5949844993347361,-1.0751055675315404,0.9983840233160411,0.1449359480505342,-0.5766664858476546,-1.5360630601082477,-0.7134205054529947,-0.4658613599245312,0.3508017743175747,-1.3483896998423903,-1.349531438287098,-0.518495139130856,0.2797514424720937,-0.3393987086858298,-0.7654288305260922,1.0427507451480604,-0.7679476477883044,0.4898979485566356,0.4644203640128238,-0.6487314220146779
