Unnamed: 0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,split1,split2,split3,split4
A1,0.6820750972105983,5.52108008259053,0.43530952700543596,2.8093813023899026,0.8394511978387148,2.646622622842545,2.4109632975806874,1.3511577498253422,0.9713713274825915,0.8365292954958012,T,T,T,T
A2,0.7785500971097938,6.34564389925292,0.5539136885112595,3.2925989424939077,0.8793994646646475,2.720750510227483,2.4624237718692394,1.3736392344673993,0.9549044054455997,0.855473758702839,V,T,T,T
A3,0.6772951204982273,5.659198278364758,0.4720017518836262,2.9184926133429023,0.8680574515089418,2.6977942590957724,2.4507054418441796,1.364179297800986,0.9971505227617787,0.9418492624143768,T,V,T,T
A4,0.7121601936326507,5.99768292368162,0.4625508523420408,2.815930073980885,0.8520394810391277,2.628076921508166,2.446057556607741,1.3978559677911175,0.9726928998879356,0.9338452673846026,V,T,V,T
A5,0.7435982328936219,6.6091870905331245,0.5404297234634496,3.169422241483968,0.8731856742701667,2.63747804551298,2.462602755728861,1.4045406578861206,0.9413427874698996,0.8861416499586953,T,T,T,V
B1,0.5148759168060046,5.377887729545471,0.46517662292756545,2.1693958900332175,0.5416087654158069,1.6598790766915954,1.7424566025365023,1.124320774277699,0.685114559771153,0.8929651998206546,V,V,T,T
B2,0.48557743865949826,5.1380609378799535,0.48433850757511826,2.014458064866335,0.5502428071147653,1.582786479237472,1.7042920083077908,1.1145880352923743,0.6763776729708044,0.961291907530106,T,T,T,T
B3,0.4882819734207896,5.26698578256904,0.46386682512525257,2.162915059181551,0.523816885098796,1.5822033124467998,1.8227229906787024,1.1645371353359841,0.7146093167591965,0.9228846252541705,V,T,V,T
B4,0.5737930895446762,6.311292905699736,0.5246381603698118,2.496862709742086,0.5449642168886778,1.5371028170979666,1.7704702304445934,1.1282337002010416,0.71700970247035,0.8461132920241833,T,V,T,T
B5,0.5039362093831817,5.91174895287329,0.47504124815811133,2.074048924401341,0.543292690919949,1.6817867664653794,1.788887319154626,1.214066716168462,0.7231950766245766,0.8903048049698552,V,T,T,V
C1,0.7711288561099381,5.920484698052365,0.5428320985374921,3.2800689540582537,0.873182605799827,2.5922847391577806,2.472732312686657,1.6013587658130999,0.8107251046002586,0.8611484076897891,T,T,T,T
C2,0.7889048845311619,6.126052747842875,0.5785635190390196,3.282134942933748,0.881746539249717,2.6516061589605284,2.432421668214364,1.6004271088937374,0.8284620190218768,0.9868320711168224,V,V,V,T
C3,0.6893358183051442,5.314455817208555,0.5062348896373461,2.8357100887167572,0.8659029693421748,2.5017096518000437,2.3991313271999313,1.5725747541272694,0.8534438161457232,0.912332683949353,T,T,T,T
C4,0.6962770277607765,5.079828089127213,0.44593663065254896,2.938858737238687,0.9100467379686288,2.534728819888755,2.4363708535931106,1.6527851527916329,0.8137589687623207,0.8959736572024317,V,T,T,T
C5,0.6960577169598287,5.378551743302599,0.4653716296682518,2.9321954353234565,0.8896992023449686,2.7410816796502484,2.446194495549362,1.6530372851941875,0.8437958292432292,0.835599142773284,T,V,T,V
D1,0.7722656389989372,6.46591849448467,0.5363311584163821,3.318012508719754,0.8576221352446209,2.680117167677268,2.0028867978092664,1.5658716327746902,0.9526772597852575,0.9786749790182242,V,T,V,T
D2,0.6844785437641586,5.118140183015549,0.511469233822163,2.876702950426593,0.9136358105661445,2.7288363345419038,2.1231563509128484,1.5925102691275037,0.9790534788553579,0.9447296519670192,T,T,T,T
D3,0.6997415460654718,5.355388391787632,0.45194567748080655,2.9461010362963678,0.8346990388483214,2.6819737606750493,2.0091170962755913,1.6326102073743274,0.9539194768325246,0.9001126867961725,V,V,T,T
D4,0.6811751155151446,5.163637425989803,0.43749022436795587,2.8152398578856674,0.8518389166245589,2.6244222846702527,2.040542596332523,1.574543974175809,0.9961800136840735,0.8472419276629203,T,T,T,T
D5,0.7608949695774553,6.55757049572433,0.5347938554864318,3.134925231480882,0.9023939093696557,2.6593287954093214,2.121514594020809,1.5939913884243684,0.9492606883315441,0.8863906787700463,V,T,V,V
E1,0.5122216493570819,5.716055016925775,0.45198324578546406,2.1069769959204563,0.5649030643078747,1.6211808787271382,1.7393707392615172,1.1516745518947802,0.7132519893744179,0.845270143601783,T,V,T,T
E2,0.5003345388027353,5.899396231991101,0.47111242415313276,2.0769688667005672,0.5252263747694689,1.6029091432664981,1.6669154796962145,1.1490733698123947,0.6759946557448553,0.9850093355270161,V,T,T,T
E3,0.581669000908162,6.07143321614349,0.5149662203073165,2.395045203606064,0.5720714789858107,1.568453969033478,1.7032463069790795,1.2128208569126582,0.6963454594194832,0.9315400917353127,T,T,T,T
E4,0.49533726733160705,5.458917863994083,0.5200527998697023,2.194583934840863,0.5772769374457353,1.7211862488163434,1.731348303148881,1.1301348604316035,0.7097363905614941,0.8482813604458568,V,V,V,T
E5,0.4856188032580197,5.069637245500284,0.5176836990191255,2.1426149825492615,0.5626219676663576,1.7263094580650875,1.7873923309829418,1.1325970456736372,0.6723411708936133,0.8459729915402799,T,T,T,V
F1,0.7668678451139248,6.250753485608885,0.5182055020284574,2.789178221718308,0.8701909572574653,2.614431140782803,2.4611836380177285,1.6629124032270175,0.9674675907378643,0.8695518268982001,V,T,T,T
F2,0.6890530430105228,5.63814079133857,0.5116193369765735,2.4487510074402143,0.8785507704148697,2.604870964108497,2.373448093325796,1.6067821615927613,0.9499451584860065,0.9066666881681442,T,V,T,T
F3,0.6732971308980773,5.471842715181238,0.4676264980273455,2.5511315851040886,0.9062588089941381,2.6378936893586546,2.339246458587697,1.6372086980121257,0.9583523077961916,0.8749599937413145,V,T,V,T
F4,0.6889419264807728,5.53252054129143,0.46071927528729245,2.576976940142264,0.9147891231198385,2.69759911937857,2.4920498920973153,1.5651994830774205,0.9726460393576054,0.9640011065386117,V,V,T,V
F5,0.765713422965169,6.57549384992271,0.5105533840080626,2.789314605757636,0.8829622967561689,2.51468187466514,2.4217473683308612,1.579481717912927,0.9996788341202764,0.840629890125529,T,T,T,T
